ID,Product Name,Ailment / Condition,Question to Engage,Benefits to Desired Outcomes,Key Benefits,Category,Price Options,SKU
1,Immune Shield Plus Capsules,“Do you want stronger immune protection year-round?”,“Do you want stronger immune protection year-round?”,"""A blend of immune-boosting herbs and vitamins to fortify the body’s natural defenses.""","""Boosts immune response, protects against seasonal threats, supports white blood cell activity.""",Immune Support,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-IMM-001
2,SleepWell Naturals Capsules,Insomnia / Poor Sleep,"“Would you like deeper, more restful sleep without grogginess?”","""Promotes relaxation, improves sleep quality, and helps reset healthy sleep cycles.""","""Supports deep, restful sleep, reduces nighttime waking, promotes relaxation.""",Sleep Support,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-SLE-002
3,Vital Energy Boost Capsules,Fatigue / Low Energy,“Do you need a natural boost for daily energy and focus?”,"""A natural formula to increase energy, stamina, and mental clarity without jitters.""","""Increases stamina, mental clarity, and daily vitality without jitters.""",Energy and Vitality,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-ENE-003
4,Digestive Harmony Capsules,Digestion / Gut Health,"""Are you experiencing issues with digestion, bloating or gas?""","""Right away, you will feel the difference that more efficient digestion, balanced gut flora, and less bloating and gas makes. Digestive Harmony Capsules are designed to help you achieve better digestion and significantly improve comfort in these areas on a daily basis.""","""Digestive Harmony Capsules offer key benefits for your digestive health, which leads to less pain discomfort.""
""With Digestive Harmony Capsules, you get comprehensive support for your digestive system. Experience aided digestion, the benefits of balanced gut flora, and relief from bloating and gas.""",Digestive Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-DIG-004
5,HeartStrong Formula Capsules,Heart Disease / Cholesterol,"""What's one small change you could make today to support your heart health?""","""Our HeartStrong formula is designed to help maintain cholesterol levels that are already within a healthy range. By supporting this, it helps you sustain a key indicator of good heart health, reducing a major risk factor and promoting long-term wellness. Better circulation means more oxygen and nutrients reach your body's cells, including those in your heart. This improved flow can help you feel more energetic and active, enabling you to lead a more vibrant, active and healthy lifestyle.""","""HeartStrong Formula Capsules promote cardiovascular health, supports healthy cholesterol and aids circulation. Taking it daily helps to consistently support your cardiovascular system, which is crucial for overall well-being, which leads to a healthier, more resilient heart over time."" ",Heart Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-HEA-005
6,MindSharp Memory Support Capsules,Brain fog,"""Have you ever walked into a room and forgotten why you were there or wish you had more mental clarity to stay on top of your daily tasks?""","""By providing your brain with the support it needs, our capsules help reduce mental fatigue and brain fog. This results in a sharper, clearer mind, allowing you to think more quickly and feel more prepared for any challenge.""","MindSharp Memory Support Capsules are formulated with key ingredients to help improve your ability to concentrate and sustain focus. This leads to increased productivity and a more efficient workflow at work or at home. The unique blend of ingredients works to nourish your brain, supporting the neural pathways responsible for memory function. This can help you remember names, dates, and important details more easily, leading to greater confidence in your daily interactions.""",Brain Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-BRA-006
7,JointFlex Advanced Capsules,Arthritis / Joints,"""Do you want to reduce stiffness, in your joints, support cartilage health, and ease discomfort?""
""Did you know that powerful joint support can help you move freely again?""","""Our JointFlex Advanced Capsules help you achieve powerful joint support to move freely again by reducing stiffness, supporting cartilage health, and easing discomfort.""","""Our formula provides support for your joints, reduces stiffness, supports cartilage health, and eases discomfort to help you move freely again""",Joint and Mobility,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-JOI-007
8,Radiant Skin Complex Capsules,Skin Health,"""What is your biggest frustration when it comes to your skin?""","""Our Radiant Skin Complex works to improve your skin’s ability to retain moisture. This combats dryness and dullness, giving you a supple, dewy glow that radiates health and beauty.""","""Our formula supports elasticity, reduces fine lines and wrinkles and hydrates skin by providing your skin with the nutrients it needs to maintain its natural firmness and elasticity. Properly nourished skin leads to a smoother, more youthful appearance. This results in a softer, more even complexion that looks refreshed and revitalized. """,Skin and Beauty,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-SKI-008
9,Daily MultiMax Capsules,Maintain Health / Wellness / Vitality,"""What does feeling your best mean to you on a daily basis? ","""Our Daily MultiMax Capsules provide a comprehensive blend of essential vitamins and minerals that you might not get from your daily diet alone. This ensures your body has the fundamental building blocks it needs.""","""Our specialized formula is designed to support a healthy metabolism that will help your body convert food into energy more efficiently. This will help you feel more energetic and alert throughout your day, allowing you to tackle your tasks with renewed vigor."" ",General Wellness,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-GEN-009
10,StressEase Adaptogens Capsules,Stress / Anxiety / Calm,"""Did you know that balancing your stress response is vital to maintaining your overall health and wellness?""","""With our formula, you will feel the difference that a balanced stress response, supported mood, and improved resilience can make. StressEase Adaptogens Capsules are designed to help you feel your best every day.""","""StressEase Adaptogens help your body manage stress which promotes resilience and significantly improved mood.""",Stress and Mood,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-STR-010
